,Run #1 BSF,Run #2 BSF,Run #3 BSF,Run #4 BSF,Average BSF
771,30740.992822171927,32228.30324471961,33235.638928511835,35142.00649976116,32836.73537379113
781,30740.992822171927,32098.161270664008,33235.638928511835,35142.00649976116,32804.19988027723
791,30740.992822171927,32098.161270664008,33235.638928511835,35050.54220678122,32781.33380703225
801,30740.992822171927,32059.440668748208,33208.224905205876,34904.04431339294,32728.175677379735
811,30740.992822171927,31664.71178625697,32806.39713308499,34678.303065321496,32472.601201708843
821,30714.379773229142,31664.71178625697,32806.39713308499,34488.56393112259,32418.51315592342
831,30714.379773229142,31664.71178625697,32345.145415110765,34488.56393112259,32303.200226429864
841,30450.149493373483,31664.71178625697,32345.145415110765,34177.296469468994,32159.32579105255
851,30253.79187608848,31664.71178625697,32205.01510017799,34145.615555554934,32067.283579519593
861,30074.94641656449,31664.71178625697,32205.01510017799,34145.615555554934,32022.572214638596
871,29833.200019575,31627.755859128603,32153.754959980353,34121.249168537135,31933.990001805276
881,29833.200019575,31431.96151958057,31486.62271536801,34015.08398305074,31691.71705939358
891,29399.405278946448,31314.4238774124,31306.54580991685,34015.08398305074,31508.864737331605
901,29399.405278946448,31314.4238774124,31180.60242688361,34000.31943241422,31473.68775391417
911,29399.405278946448,30950.366767076972,30984.583114369405,33563.32786618589,31224.42075664468
921,29399.405278946448,30950.366767076972,30624.03990801762,33563.32786618589,31134.284955056733
931,29379.445403207694,30842.52825911122,30516.716966896216,33563.32786618589,31075.504623850255
941,29293.334856440615,30842.52825911122,30458.943035884404,33563.32786618589,31039.533504405532
951,29293.334856440615,30842.52825911122,30171.54530455213,33545.97719060551,30963.34640267737
961,29263.47724869981,30842.52825911122,29772.119462349103,33545.97719060551,30856.02554019141
971,29261.586845666538,30842.52825911122,29772.119462349103,33545.97719060551,30855.55293943309
981,29184.464852611014,30835.154319663994,29772.119462349103,33545.97719060551,30834.428956307405
991,29150.8291751803,30835.092261754322,29772.119462349103,33301.09520417576,30764.784025864872
1001,29037.35899157462,30560.43880776999,29284.525809155373,33301.09520417576,30545.854703168938
1011,28686.088818651824,30560.43880776999,29284.525809155373,33301.09520417576,30458.037159938234
1021,28666.826966588025,30510.99764530103,29243.1308626969,33301.09520417576,30430.512669690426
1031,28616.12616024925,30505.501970708396,29186.83093969326,33301.09520417576,30402.388568706665
1041,28596.670982502495,30505.501970708396,29186.83093969326,33301.09520417576,30397.52477426998
1051,28596.670982502495,30505.501970708396,29149.10658808719,33301.09520417576,30388.093686368462
1061,28328.193042318704,30505.501970708396,29149.10658808719,33301.09520417576,30320.97420132251
1071,28328.193042318704,30505.501970708396,29149.10658808719,32603.891398656444,30146.673249942683
1081,28282.65675965555,30448.05543769712,28941.563316007076,32092.45507928168,29941.182648160357
1091,28040.531289714254,30448.05543769712,28574.209242063713,32092.45507928168,29788.81276218919
