,Run #1 BSF,Run #2 BSF,Run #3 BSF,Run #4 BSF,Average BSF
1011,27761.159455201203,29072.27883346791,31704.444550749446,27026.857745939902,28891.185146339616
1021,27711.90394124533,29072.27883346791,31702.78352293176,26952.13208694562,28859.774596147658
1031,27591.686211207,28936.210948118347,31702.78352293176,26819.955470944806,28762.65903830048
1041,27282.169914833143,28748.015923503746,31664.863845403637,26727.847974377106,28605.724414529406
1051,26949.28298393268,28748.015923503746,31497.164970998394,26727.847974377106,28480.57796320298
1061,26818.26280215094,28748.015923503746,31273.568179232367,26727.847974377106,28391.92371981604
1071,26781.244881911392,28748.015923503746,31273.568179232367,26727.847974377106,28382.66923975615
1081,26521.156603039453,28262.045379773233,31242.959266797327,26583.54245156487,28152.42592529372
1091,26521.156603039453,28262.045379773233,31242.959266797327,25976.170254554123,28000.582876041033
1101,26521.156603039453,28168.30593245145,31242.959266797327,25965.450536219483,27974.468084626933
1111,26521.156603039453,27955.692766326156,31242.959266797327,25965.450536219483,27921.314793095604
1121,26521.156603039453,27907.934236109988,31135.70702141914,25965.450536219483,27882.56209919702
1131,26521.156603039453,27907.934236109988,31135.70702141914,25835.606538503285,27850.10109976797
1141,26521.156603039453,27907.934236109988,30810.798163016203,25835.606538503285,27768.87388516723
1151,26375.38813742615,27907.934236109988,30810.798163016203,25718.082103381075,27703.050659983353
1161,26375.38813742615,27754.00950199291,30810.798163016203,25665.463337933183,27651.41478509211
1171,26297.89281775719,27754.00950199291,30780.141616041714,25665.463337933183,27624.37681843125
1181,26253.253998641118,27754.00950199291,30780.141616041714,25389.965676894873,27544.342698392655
1191,26018.352454636755,27754.00950199291,30780.141616041714,25132.00270700691,27421.126569919572
1201,26018.352454636755,27717.818332600855,30780.141616041714,25077.643179953888,27398.488895808303
1211,26018.352454636755,27717.818332600855,30780.141616041714,24955.421055417395,27367.93336467418
1221,25844.545793192006,27717.818332600855,30780.141616041714,24955.421055417395,27324.481699312993
1231,25844.545793192006,27717.818332600855,30780.141616041714,24905.85168755908,27312.089357348414
